"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",0.000566439807,0.000521179347,0.000548017807,0.000378299653,0.000387394002,0.000522169147,0.000760899899,0.00113161487,0.00082077892,0.00109431623,0.00089131521,0.001024679968,0.000618335331,0.000543455758,0.000856404,0.00219747268,0.001805381777,0.001810626201,0.00126485208,0.00199851255,0.00118962126,0.000680837795,0.001253993269,0.00184597001,0.001805255181,0.0034951757,0.0016105895,0.00101721124,0.00406381907,0.00154830717,0.000904017788,0.00125157603,0.00079000102,0.00098767808,0.00135840743,0.0020554364,0.00084242029,0.00051530016,0.0012019191,0.00050455208,0.00108065339,0.00117258361,0.001737329283,0.00191957315,0.001736979705,0.00132345565,0.00135115558,0.001171205993,0.000908926213,0.00096247732,0.000721714441,0.000915257008,0.001134381257,0.00081329991,0.000914266215,0.001357543121,0.001071469661,0.000999430485,0.00114705533,0.000791827768
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.000452224988,0.0011678902,0.000795812303,0.000841184068,0.000760835447,0.000833085012,0.00062332258,0.00020929978,0.00089154428,0.00081107829,0.0005239314,0.00069470573,0.000782542948,0.001145418553,0.00113448747,0.00149444892,0.0015566281,0.001687089624,0.00091232013,0.00122454677,0.001027321835,0.000504118897,0.001036051841,0.000766191933,0.00163478009,0.0019718181,0.00127187087,0.00111443682,0.0025918083,0.00135217146,0.000759488997,0.00151663788,0.000439076104,0.0010108103,0.00087708219,0.00141120658,0.003391724367,0.000726077217,0.00136954648,0.00038686935,0.0010777742,0.00067174727,0.0014093067,0.00134810451,0.00140142367,0.00085420089,0.00084603818,0.0005398654,0.00045793415,0.00051449848,0.00055271499,0.00056800789,0.000683042369,0.00038127454,0.00054504804,0.00084098049,0.000559474075,0.00052376668,0.00073910014,0.000521475861
"VALSYN-PWY: L-valine biosynthesis",0.000479414104,0.001169812796,0.000852812497,0.00086477961,0.000824716844,0.000852602478,0.000768585293,0.000249324346,0.00110943491,0.000945372146,0.00055178831,0.000846935968,0.000839335851,0.001147714109,0.001436109654,0.001510923489,0.00158894505,0.001780584497,0.001046104347,0.001259500574,0.001072019494,0.000570579474,0.001222118572,0.000821432849,0.001656417739,0.0019718181,0.001303290681,0.001182668394,0.00266872121,0.00143782101,0.000856615416,0.001565996335,0.000523239202,0.001093415406,0.000921945189,0.00145042814,0.00339526421,0.000753285289,0.00141045712,0.00041509501,0.001138871154,0.0007606253,0.00146014966,0.00144340512,0.001452625835,0.00093992887,0.00096976299,0.00062823904,0.000509941332,0.0005613936,0.0006114455,0.000746600512,0.000769607491,0.000428937571,0.000671355095,0.000926511643,0.000686480555,0.000637689984,0.000836822228,0.000594752326
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",0.000393898116,0.000933237159,0.000642184274,0.000704904916,0.000629632563,0.000702058383,0.00047537672,0.00020339003,0.00067371187,0.00071975684,0.000456059529,0.00056663446,0.000673942041,0.000955063235,0.00081185806,0.00126202715,0.0012803035,0.001450739301,0.000773804738,0.001109509129,0.000883219288,0.000424448713,0.000843476039,0.000656392334,0.00126318531,0.0017584156,0.00112389565,0.00092356598,0.0020989512,0.00120560996,0.00065278894,0.001250167,0.000337041331,0.00083082247,0.00051506024,0.0012031976,0.002992229387,0.000653946485,0.00111105637,0.000337870354,0.0009342991,0.00064591889,0.00125567652,0.001177130336,0.00133694133,0.00077351357,0.000768815513,0.000421125674,0.000331525969,0.00039605769,0.00044944909,0.00043307884,0.000593376187,0.00032863875,0.000427520132,0.00079419158,0.000434401811,0.00040589052,0.00061264063,0.000424669372
"PWY-5103: L-isoleucine biosynthesis III",0.00042975797,0.000939737879,0.0006109100715,0.000676759965,0.00056573596,0.0006662634,0.00045184193,0.00018315572,0.00060495711,0.00069276339,0.000437942725,0.000538434194,0.00062380209,0.000954302417,0.000757000091,0.001156314386,0.0011849373,0.001401102607,0.000737727328,0.001064877909,0.000836582228,0.000390751406,0.000789013223,0.000613003338,0.001162491886,0.0016571673,0.00106412999,0.00088433603,0.0019567182,0.00116326992,0.000625055112,0.00118433695,0.000302300131,0.00079813895,0.00044947795,0.00113685294,0.002932794084,0.000644074796,0.00103760333,0.000326284937,0.00088832293,0.00060483477,0.00120421489,0.001069832688,0.00129764386,0.0007265969,0.000722601372,0.000384875223,0.000318767843,0.00036747543,0.00040898406,0.00039295038,0.000554725166,0.00030566148,0.000393108046,0.00075165381,0.000401709002,0.00037209647,0.000572318296,0.000391910574
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.000567027272,0.0014026563947,0.0009554722938,0.001021914904,0.001057618455,0.000870179397,0.000777324986,0.000245075476,0.00106162148,0.000925644092,0.00053337144,0.000821344453,0.000880637743,0.0013803647234,0.001451004217,0.001224979841,0.00122218025,0.001625174051,0.001021650362,0.001160881798,0.000988978844,0.000538234395,0.001213994751,0.000763042128,0.001325690467,0.001729682,0.001158049827,0.001078861036,0.00199408171,0.00135382374,0.000777029946,0.001240864302,0.000493628976,0.001061949239,0.000891812234,0.001185737087,0.003114692301,0.000801756032,0.001085603235,0.000375032634,0.00099948948,0.000740251879,0.00134280624,0.001148639118,0.001410589385,0.00089618339,0.000908230054,0.000619513265,0.000504474476,0.00055875029,0.000589159789,0.000732778432,0.000746850095,0.000433245283,0.000658063512,0.00090797731,0.00067632419,0.000632352937,0.000794220276,0.000580649373
"PWY-7219: adenosine ribonucleotides de novo biosynthesis",0.000852170206,0.000411572164,0.0006009426604,0.000670170738,0.00074441141,0.000745067341,0.000715618924,0.001128069861,0.00089130156,0.001323399602,0.001182935538,0.00108533783,0.000905661564,0.0004584965,0.00090244603,0.00171940722,0.001628386714,0.00176563283,0.00100172637,0.00151660798,0.001230247848,0.000660484059,0.001089951616,0.001016321389,0.001622574304,0.00203745937,0.00127023638,0.00124225832,0.00253935951,0.001359185229,0.000889315998,0.001801797785,0.000832126733,0.001047810175,0.001360598735,0.00168490733,0.002327555254,0.001014503478,0.001758719642,0.000400147924,0.001371611693,0.00087448467,0.00151696047,0.00162120631,0.001603217822,0.00119478341,0.00116529989,0.00081746256,0.000743293179,0.00118203077,0.00091511167,0.000792847834,0.000988671711,0.000774820488,0.001010501283,0.00122982051,0.000792529799,0.000768495183,0.001042050647,0.001028007276
"PWY-6151: S-adenosyl-L-methionine cycle I",0.00050557784,0.000542662581,0.0004583153412,0.000461123269,0.00051306944,0.000455394485,0.000531173442,0.00029714333,0.00050036639,0.000623864423,0.000275116621,0.00053359418,0.000588833934,0.0005602981465,0.00050173133,0.00151233959,0.001251105991,0.001527380744,0.00058211715,0.00126680435,0.001024485194,0.000393596266,0.000663615697,0.000941580133,0.0012890893,0.0020150448,0.00125625595,0.00094092138,0.00189726177,0.0012703909,0.000747072319,0.00146621236,0.00050466898,0.00070606393,0.00079957411,0.00114944133,0.000364407935,0.0006795286742,0.00143146222,0.00027465335,0.00088782994,0.00046985683,0.00135974976,0.00120692074,0.00118225293,0.000776357872,0.000994237947,0.00051548215,0.000447851214,0.00064827904,0.00043278696,0.00064866275,0.00080943668,0.000514012728,0.00062915732,0.00078759425,0.00059842002,0.000543807028,0.000811787821,0.000618169899
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.00115310244,0.001899466916,0.00120616644,0.001429109553,0.001285890561,0.001240814667,0.00058498927,0.000164798511,0.0004468149,0.00022321919,0.00026573141,0.00032577782,0.0012250444,0.001891752768,0.00085241031,0.000861444,0.001191823005,0.0007095857,0.00055415389,0.000641665251,0.00056584809,0.000607461051,0.00059562587,0.000411726683,0.001165275631,0.00102136834,0.000879245292,0.00053951582,0.0008592307,0.000916249,0.000311125226,0.00073468159,0.00038311096,0.000721276043,0.00050682665,0.00034744035,0.000649374707,0.000932419791,0.00072075428,0.00046367593,0.00062690872,0.00069157333,0.00051425004,0.00127222239,0.00100092076,0.0003041354,0.000612514782,0.00045889205,0.000419047526,0.00022070855,0.00061826474,0.00034204051,0.000541542225,0.00035499135,0.00032036477,0.000346442892,0.00041953409,0.000402737133,0.000553949778,0.000522755778
"PWY-5686: UMP biosynthesis",0.000654617228,0.000503581376,0.0005239101896,0.000452475717,0.000595366972,0.000566128938,0.000713413919,0.00123597728,0.00085156774,0.001075595192,0.00084147859,0.00096548007,0.000767813509,0.000506093763,0.000954229551,0.00134231575,0.00128501509,0.00160781236,0.00093316455,0.00126128629,0.00096661972,0.000611866756,0.001083319924,0.000851611779,0.00133815258,0.0017823934,0.00104626373,0.00094957242,0.0019103989,0.001291751385,0.000640965332,0.00170897513,0.00058742134,0.00099747615,0.00119537811,0.0013792092,0.002181833138,0.00088750136,0.00164838137,0.000308838696,0.00088601015,0.00080533718,0.00132120892,0.001343056838,0.00140047951,0.00124892937,0.00104836137,0.00073340484,0.000666247461,0.00090315598,0.000812772069,0.000802300837,0.00090846055,0.00069164347,0.00082980821,0.00124822187,0.000783744237,0.00072421874,0.000964012933,0.00081417794
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.000659717444,0.000594575629,0.00055634887,0.000517009883,0.000546778457,0.000543149572,0.000741669145,0.00126093715,0.000876844588,0.00100850135,0.00100342404,0.00081783447,0.000780382698,0.000597241075,0.000922598264,0.00148370696,0.001355243001,0.00148215952,0.00084042669,0.001207977276,0.001082428603,0.00066339877,0.001010448045,0.001009149497,0.00154486753,0.0019654118,0.00111114149,0.001106450067,0.00235899963,0.00127604633,0.000716068766,0.0015579207,0.000688959199,0.00100463805,0.00127188331,0.00146677203,0.00154057819,0.001041088835,0.00142512311,0.000350310855,0.00109013012,0.00081762553,0.00134199054,0.001475144922,0.001509035916,0.00125088829,0.001105831206,0.000823629789,0.00073599088,0.001052063942,0.000838688964,0.00076525728,0.000980959426,0.00067547363,0.000934903995,0.001345709393,0.000763744204,0.000706860288,0.000960062077,0.000901346937
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)",0.00046971761,0.000222451888,0.000341852339,0.000268350523,0.000282660085,0.000312131537,0.000595220802,0.00015312183,0.0007102483,0.00063883262,0.00038551451,0.00048228323,0.000564382915,0.000230351035,0.00049938734,0.00116173153,0.00108492921,0.001290842004,0.00086841663,0.001094201671,0.000793128878,0.000292163726,0.00086254848,0.000744524051,0.001075570114,0.00173694607,0.00093427405,0.0007864733,0.0012801123,0.001025309845,0.000467689431,0.00144559198,0.00036166582,0.00051948586,0.00044844669,0.00101423021,0.00118918457,0.00072053199,0.00154002466,0.00016979758,0.00079937578,0.0006260238,0.0010006022,0.00112414006,0.00123769712,0.00026678575,0.00077138414,0.000434533618,0.000352940037,0.00044061827,0.00025613057,0.000675693393,0.00058642351,0.000336578701,0.000636265287,0.00032265021,0.000566757129,0.00056057889,0.000593857334,0.00035129323
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.000641124588,0.000525748217,0.000508353541,0.000515758428,0.000572044276,0.000483496706,0.00061105563,0.00077437435,0.0008041153,0.00142652415,0.00086886866,0.00088716491,0.000767520658,0.000518016278,0.00082152432,0.00144536625,0.0013228771,0.001581163668,0.00084363333,0.00121818766,0.00094496624,0.000616789211,0.000944972486,0.000872098878,0.001378696167,0.00192252145,0.00110474527,0.00103364568,0.00197863015,0.0012795637,0.000844142713,0.00157904209,0.00063473684,0.00089521538,0.00101907595,0.0012504193,0.001498376782,0.00077204669,0.00157749979,0.000306095097,0.0010564632,0.000710812228,0.00127830712,0.00146030167,0.00148031091,0.00108674776,0.00094807557,0.00072607838,0.0006471856,0.00099899392,0.00071560588,0.000574493903,0.000860151422,0.00067195278,0.000791690859,0.00115475391,0.000655899447,0.000632516169,0.000859138145,0.0008053218
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.00065669905,0.000537881699,0.000531108296,0.000552685548,0.000576769544,0.000485496781,0.000606886006,0.000710380747,0.00081228079,0.00133775513,0.0008621426,0.0009012795,0.000799663207,0.000531471954,0.00088092356,0.00145895304,0.00139234289,0.001587486581,0.00087253275,0.00127457813,0.00097006393,0.00062196254,0.000981371339,0.000883917531,0.00137936388,0.00191261952,0.00113861693,0.00106129554,0.0019441435,0.00131163857,0.00083367147,0.00157478743,0.00063217091,0.00096935084,0.00111708738,0.00127048934,0.001508240187,0.00080154305,0.0015523288,0.000321222994,0.00108577922,0.000726564637,0.00129155236,0.0015153162,0.001494660405,0.00106823261,0.00095449501,0.00074189576,0.000647782758,0.00100766868,0.00072304422,0.00059337456,0.00085742177,0.00067092726,0.000785990184,0.00113773184,0.000683281861,0.000645821426,0.000848718362,0.0008001539
